case,rank,image_path,final_score,vila_score,acut_short_reason,acut_detailed_reason,acut_rejection_reason,acut_comparison_reason
selected_top,1,test_samples/KakaoTalk_20260330_180646779_10.jpg,0.5583408452676744,0.3325670378579793,"Selected because composition and technical quality were stronger than nearby alternatives, although subject clarity was weaker.","Ranked #1 with a final score of 0.558, staying 0.065 above the cut line. The selector leaned on technical quality (0.607 vs 0.567 aesthetic), with the largest weighted contributions from FLIVE image, AADB, and FLIVE patch mean. VILA signals reinforced the pick with composition, even though lighting remained weak. Compared with KakaoTalk_20260330_180646779_12.jpg, the final score was slightly higher by 0.014, helped mostly by composition and technical quality, although subject clarity was weaker.",,"Compared with KakaoTalk_20260330_180646779_12.jpg, the final score was slightly higher by 0.014, helped mostly by composition and technical quality, although subject clarity was weaker."
selected_top,2,test_samples/KakaoTalk_20260330_180646779_12.jpg,0.5444519270704428,0.337624669998327,"Selected because subject clarity and background cleanliness were stronger than nearby alternatives, although composition was weaker.","Ranked #2 with a final score of 0.544, staying 0.051 above the cut line. The selector stayed balanced between aesthetic (0.560) and technical (0.579) components, with the largest weighted contributions from FLIVE image, AADB, and FLIVE patch mean. VILA signals reinforced the pick with composition, even though lighting remained weak. Compared with KakaoTalk_20260330_180646779_10.jpg, the final score was slightly lower by 0.014, but subject clarity and background cleanliness were stronger, although composition was weaker.",,"Compared with KakaoTalk_20260330_180646779_10.jpg, the final score was slightly lower by 0.014, but subject clarity and background cleanliness were stronger, although composition was weaker. Against KakaoTalk_20260330_180646779_07.jpg, the clearest edges were overall image appeal and composition."
selected_top,3,test_samples/KakaoTalk_20260330_180646779_07.jpg,0.527665774286819,0.3160946562106658,"Selected because subject clarity and background cleanliness were stronger than nearby alternatives, although technical quality was weaker.","Ranked #3 with a final score of 0.528, staying 0.034 above the cut line. The selector leaned on technical quality (0.592 vs 0.524 aesthetic), with the largest weighted contributions from FLIVE image, FLIVE patch mean, and AADB. VILA signals reinforced the pick with composition, even though lighting remained weak. Compared with KakaoTalk_20260330_180646779_11.jpg, the final score was slightly higher by 0.008, helped mostly by subject clarity and background cleanliness, although overall image appeal was weaker.",,"Compared with KakaoTalk_20260330_180646779_11.jpg, the final score was slightly higher by 0.008, helped mostly by subject clarity and background cleanliness, although overall image appeal was weaker. Against KakaoTalk_20260330_180646779_12.jpg, the clearest edges were background cleanliness and technical quality."
selected_top,4,test_samples/KakaoTalk_20260330_180646779_11.jpg,0.5194293263899512,0.2461861544625223,"Selected because technical quality was stronger than nearby alternatives, although background cleanliness was weaker.","Ranked #4 with a final score of 0.519, staying 0.026 above the cut line. The selector leaned on technical quality (0.623 vs 0.501 aesthetic), with the largest weighted contributions from FLIVE image, FLIVE patch mean, and KonIQ. VILA signals reinforced the pick with composition, even though lighting remained weak. Compared with KakaoTalk_20260330_180646779_08.jpg, the final score was roughly tied (+0.004), helped mostly by technical quality, although background cleanliness was weaker.",,"Compared with KakaoTalk_20260330_180646779_08.jpg, the final score was roughly tied (+0.004), helped mostly by technical quality, although background cleanliness was weaker. Against KakaoTalk_20260330_180646779_07.jpg, the clearest edges were overall image appeal and technical quality, and the VILA score was lower by 0.070."
selected_top,5,test_samples/KakaoTalk_20260330_180646779_08.jpg,0.5150548981142377,0.3881519382003306,"Selected because composition and subject clarity were stronger than nearby alternatives, although lighting was weaker.","Ranked #5 with a final score of 0.515, staying 0.022 above the cut line. The selector leaned on technical quality (0.554 vs 0.513 aesthetic), with the largest weighted contributions from FLIVE patch mean, FLIVE image, and AADB. VILA signals reinforced the pick with composition, even though lighting remained weak. Compared with KakaoTalk_20260330_180646779.jpg, the final score was higher by 0.022, helped mostly by overall image appeal and composition, although lighting was weaker.",,"Compared with KakaoTalk_20260330_180646779.jpg, the final score was higher by 0.022, helped mostly by overall image appeal and composition, although lighting was weaker. Against KakaoTalk_20260330_180646779_11.jpg, the clearest edges were background cleanliness and subject clarity, and the VILA score was higher by 0.142."
rejected_bottom,11,test_samples/KakaoTalk_20260330_180646779_02.jpg,0.4776853288047666,0.2627446947363558,"Rejected because composition and subject clarity were weaker than higher-ranked alternatives, although background cleanliness stayed competitive.","Ranked #11 with a final score of 0.478, trailing the cut line by 0.037. The selector leaned on technical quality (0.550 vs 0.469 aesthetic), with the largest weighted contributions from FLIVE patch mean, FLIVE image, and AADB. VILA signals also hurt this frame on lighting and overall image quality, even though background cleanliness stayed comparatively better. Compared with KakaoTalk_20260330_180646779_01.jpg, the final score was roughly tied (-0.001); the main deficits were composition and overall image appeal, although background cleanliness remained competitive.","Rejected because composition and subject clarity were weaker than higher-ranked alternatives, although background cleanliness stayed competitive.","Compared with KakaoTalk_20260330_180646779_01.jpg, the final score was roughly tied (-0.001); the main deficits were composition and overall image appeal, although background cleanliness remained competitive. Against KakaoTalk_20260330_180646779_04.jpg, the weaker areas were background cleanliness and composition."
rejected_bottom,12,test_samples/KakaoTalk_20260330_180646779_04.jpg,0.4755419056987762,0.2715470849492434,"Rejected because background cleanliness and composition were weaker than higher-ranked alternatives, although technical quality stayed competitive.","Ranked #12 with a final score of 0.476, trailing the cut line by 0.040. The selector leaned on technical quality (0.549 vs 0.427 aesthetic), with the largest weighted contributions from FLIVE patch mean, FLIVE image, and NIMA. VILA signals also hurt this frame on lighting and overall image quality, even though background cleanliness stayed comparatively better. Compared with KakaoTalk_20260330_180646779_09.jpg, the final score was roughly tied (+0.001); the main deficits were background cleanliness and composition, although technical quality remained competitive.","Rejected because background cleanliness and composition were weaker than higher-ranked alternatives, although technical quality stayed competitive.","Compared with KakaoTalk_20260330_180646779_09.jpg, the final score was roughly tied (+0.001); the main deficits were background cleanliness and composition, although technical quality remained competitive. Against KakaoTalk_20260330_180646779_02.jpg, the weaker areas were aesthetic score and subject clarity."
rejected_bottom,13,test_samples/KakaoTalk_20260330_180646779_09.jpg,0.4743556725454331,0.3104208216527451,"Rejected because technical quality and subject clarity were weaker than higher-ranked alternatives, although background cleanliness stayed competitive.","Ranked #13 with a final score of 0.474, trailing the cut line by 0.041. The selector leaned on technical quality (0.536 vs 0.433 aesthetic), with the largest weighted contributions from FLIVE patch mean, FLIVE image, and AADB. VILA signals also hurt this frame on lighting and overall image quality, even though background cleanliness stayed comparatively better. Compared with KakaoTalk_20260330_180646779_04.jpg, the final score was roughly tied (-0.001); the main deficits were technical quality and subject clarity, although background cleanliness remained competitive.","Rejected because technical quality and subject clarity were weaker than higher-ranked alternatives, although background cleanliness stayed competitive.","Compared with KakaoTalk_20260330_180646779_04.jpg, the final score was roughly tied (-0.001); the main deficits were technical quality and subject clarity, although background cleanliness remained competitive. Against KakaoTalk_20260330_180646779_14.jpg, the weaker area was lighting, while the VILA score was higher by 0.104."
rejected_bottom,14,test_samples/KakaoTalk_20260330_180646779_14.jpg,0.4420644050264358,0.2068099193476272,"Rejected because subject clarity and aesthetic score were weaker than higher-ranked alternatives, although background cleanliness stayed competitive.","Ranked #14 with a final score of 0.442, trailing the cut line by 0.073. The selector leaned on technical quality (0.530 vs 0.383 aesthetic), with the largest weighted contributions from FLIVE patch mean, FLIVE image, and NIMA. VILA signals also hurt this frame on subject clarity and overall image quality, even though background cleanliness stayed comparatively better. Compared with KakaoTalk_20260330_180646779_03.jpg, the final score was roughly tied (+0.001); the main deficits were subject clarity and aesthetic score, although background cleanliness remained competitive.","Rejected because subject clarity and aesthetic score were weaker than higher-ranked alternatives, although background cleanliness stayed competitive.","Compared with KakaoTalk_20260330_180646779_03.jpg, the final score was roughly tied (+0.001); the main deficits were subject clarity and aesthetic score, although background cleanliness remained competitive. Against KakaoTalk_20260330_180646779_09.jpg, the weaker areas were background cleanliness and subject clarity, while the VILA score was lower by 0.104."
rejected_bottom,15,test_samples/KakaoTalk_20260330_180646779_03.jpg,0.4412483342456818,0.1582609965824618,"Rejected because background cleanliness and lighting were weaker than higher-ranked alternatives, although subject clarity stayed competitive.","Ranked #15 with a final score of 0.441, trailing the cut line by 0.074. The selector leaned on technical quality (0.519 vs 0.389 aesthetic), with the largest weighted contributions from FLIVE patch mean, FLIVE image, and NIMA. VILA signals also hurt this frame on subject clarity and lighting, even though composition stayed comparatively better. Compared with KakaoTalk_20260330_180646779_14.jpg, the final score was roughly tied (-0.001); the main deficits were background cleanliness and lighting, although subject clarity remained competitive.","Rejected because background cleanliness and lighting were weaker than higher-ranked alternatives, although subject clarity stayed competitive.","Compared with KakaoTalk_20260330_180646779_14.jpg, the final score was roughly tied (-0.001); the main deficits were background cleanliness and lighting, although subject clarity remained competitive."
