candidate_id,image_file_name,dataset_source,selection_band,selection_state,comment_type,visible_anchor_count,generic_phrase_count,specificity_pass,audit_flags
gemini__20__0__aadb__middle_near_miss__farm1_310_20062504052_b162f70dec_b.jpg__3df08b2e95,farm1_310_20062504052_b162f70dec_b.jpg,aadb,middle_near_miss,near_miss,near_miss_feedback,3,0,True,[]
gemini__20__1__aadb__selected_high__farm4_3780_19553346993_23b017e6b8_b.jpg__98ed38a106,farm4_3780_19553346993_23b017e6b8_b.jpg,aadb,selected_high,selected,selected_explanation,1,0,False,['generic_only_wording']
gemini__20__2__ava__rejected_low__108286.jpg__aa0bcc309a,108286.jpg,ava,rejected_low,not_selected,rejection_reason,1,0,False,['generic_only_wording']
gemini__20__3__ava__middle_near_miss__289019.jpg__98209b9d52,289019.jpg,ava,middle_near_miss,near_miss,near_miss_feedback,4,0,True,[]
gemini__20__4__ava__middle_near_miss__318129.jpg__33b4849e1b,318129.jpg,ava,middle_near_miss,near_miss,near_miss_feedback,5,0,True,[]
gemini__20__5__ava__middle_near_miss__905212.jpg__5c96df41b5,905212.jpg,ava,middle_near_miss,near_miss,near_miss_feedback,3,0,True,[]
gemini__20__6__ava__middle_near_miss__251358.jpg__6ddd63b092,251358.jpg,ava,middle_near_miss,near_miss,near_miss_feedback,3,0,True,[]
gemini__20__7__aadb__rejected_low__farm1_291_20282188755_267821a9d9_b.jpg__4023c1487d,farm1_291_20282188755_267821a9d9_b.jpg,aadb,rejected_low,not_selected,rejection_reason,5,0,True,[]
gemini__20__8__aadb__rejected_low__farm1_387_20196562681_21917947e5_b.jpg__6720571b58,farm1_387_20196562681_21917947e5_b.jpg,aadb,rejected_low,not_selected,rejection_reason,5,0,True,[]
gemini__20__9__aadb__selected_high__farm1_312_20202777095_9ba3d5187b_b.jpg__cdff10908f,farm1_312_20202777095_9ba3d5187b_b.jpg,aadb,selected_high,selected,selected_explanation,3,0,True,[]
gemini__20__10__ava__rejected_low__940519.jpg__2478f43954,940519.jpg,ava,rejected_low,not_selected,rejection_reason,0,0,False,['generic_only_wording']
gemini__20__11__aadb__middle_near_miss__farm1_358_19972029900_bc1aee715d_b.jpg__dee593d7cd,farm1_358_19972029900_bc1aee715d_b.jpg,aadb,middle_near_miss,near_miss,near_miss_feedback,1,0,False,['generic_only_wording']
gemini__20__12__ava__rejected_low__58037.jpg__9c7e0f5348,58037.jpg,ava,rejected_low,not_selected,rejection_reason,2,2,False,['generic_only_wording']
gemini__20__13__aadb__middle_near_miss__farm1_324_20104961615_2c73ba70b6_b.jpg__0a3269a54a,farm1_324_20104961615_2c73ba70b6_b.jpg,aadb,middle_near_miss,near_miss,near_miss_feedback,6,0,True,[]
gemini__20__14__ava__rejected_low__9593.jpg__d6f43a7838,9593.jpg,ava,rejected_low,not_selected,rejection_reason,2,0,True,[]
gemini__20__15__ava__middle_near_miss__595105.jpg__c5600097bd,595105.jpg,ava,middle_near_miss,near_miss,near_miss_feedback,0,0,False,['generic_only_wording']
gemini__20__16__ava__selected_high__532277.jpg__085177d147,532277.jpg,ava,selected_high,selected,selected_explanation,7,0,True,[]
gemini__20__17__ava__selected_high__488995.jpg__a0cb9defeb,488995.jpg,ava,selected_high,selected,selected_explanation,9,1,True,['fake_weakness_in_selected']
gemini__20__18__ava__selected_high__729238.jpg__01898d899c,729238.jpg,ava,selected_high,selected,selected_explanation,5,0,True,[]
gemini__20__19__ava__selected_high__739484.jpg__6ebda4a315,739484.jpg,ava,selected_high,selected,selected_explanation,1,0,False,['generic_only_wording']
