candidate_id,image_path,image_file_name,dataset_source,selection_band,selection_state,aesthetic_signal,nima_unit_score,rgnet_score,alamp_score,weighted_aesthetic_score,balanced_comparison_score,primary_rank,primary_rank_percentile,source_split,ava_mean_score,aadb_score,teacher_source_mode,teacher_model_name,gemini_raw_text,gemini_parse_error,gemini_api_error,comment_type,short_reason,detailed_reason,comparison_reason,generation_validation_flags,is_valid_pre_audit,batch_result_key,gemini_finish_reason,gemini_usage_metadata,visible_anchor_count,generic_phrase_count,specificity_pass,audit_flags,is_clean
gemini__20__0__aadb__middle_near_miss__farm1_310_20062504052_b162f70dec_b.jpg__3df08b2e95,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_310_20062504052_b162f70dec_b.jpg,farm1_310_20062504052_b162f70dec_b.jpg,aadb,middle_near_miss,near_miss,medium,0.520096,0.507841,0.491409,0.50085,0.503106,1427,0.47533333333333333,train,,0.3,gemini_batch_api,gemini-2.5-pro,"{
  ""comment_type"": ""near_miss_feedback"",
  ""short_reason"": ""The sharp focus on the intricate metalwork is compelling, but the distracting green and yellow reflections on the map of Europe diminish the overall quality."",
  ""detailed_reason"": ""This is a strong close-up shot that successfully captures the detailed textures of the championship belt, from the purple stitching on the strap to the embossed lettering. The limitation is the prominent, out-of-focus green and yellow reflection covering the polished metal map of Europe, which pulls attention away from the subject itself. To improve, try changing the angle or using a polarizing filter to control the reflections on the shiny surfaces."",
  ""comparison_reason"": null
}",,,near_miss_feedback,"The sharp focus on the intricate metalwork is compelling, but the distracting green and yellow reflections on the map of Europe diminish the overall quality.","This is a strong close-up shot that successfully captures the detailed textures of the championship belt, from the purple stitching on the strap to the embossed lettering. The limitation is the prominent, out-of-focus green and yellow reflection covering the polished metal map of Europe, which pulls attention away from the subject itself. To improve, try changing the angle or using a polarizing filter to control the reflections on the shiny surfaces.",,{},True,gemini__20__0__aadb__middle_near_miss__farm1_310_20062504052_b162f70dec_b.jpg__3df08b2e95,STOP,"{'promptTokenCount': 688, 'promptTokensDetails': [{'tokenCount': 430, 'modality': 'TEXT'}, {'tokenCount': 258, 'modality': 'IMAGE'}], 'thoughtsTokenCount': 84, 'totalTokenCount': 925, 'candidatesTokenCount': 153}",3,0,True,[],True
gemini__20__3__ava__middle_near_miss__289019.jpg__98209b9d52,/home/omen_pc1/ava/images/289019.jpg,289019.jpg,ava,middle_near_miss,near_miss,medium,0.585877,0.508003,0.47078,0.497179,0.504795,1479,0.49266666666666664,train,5.806035,,gemini_batch_api,gemini-2.5-pro,"{
  ""comment_type"": ""near_miss_feedback"",
  ""short_reason"": ""The dramatic sunbeams and deep blue sky are compelling, but the heavy color processing makes the mountains and foreground appear unnaturally dark and lacking in detail."",
  ""detailed_reason"": ""This image has a strong element with the crepuscular rays breaking through the clouds on the left. However, the post-processing is too aggressive, resulting in an overly saturated, deep blue sky that feels artificial. This heavy-handed approach also crushes the blacks in the mountains and the harvested cornfield, obscuring texture and detail in the lower half of the frame. A more balanced edit that retains detail in the shadows while highlighting the sky would improve the overall quality."",
  ""comparison_reason"": null
}",,,near_miss_feedback,"The dramatic sunbeams and deep blue sky are compelling, but the heavy color processing makes the mountains and foreground appear unnaturally dark and lacking in detail.","This image has a strong element with the crepuscular rays breaking through the clouds on the left. However, the post-processing is too aggressive, resulting in an overly saturated, deep blue sky that feels artificial. This heavy-handed approach also crushes the blacks in the mountains and the harvested cornfield, obscuring texture and detail in the lower half of the frame. A more balanced edit that retains detail in the shadows while highlighting the sky would improve the overall quality.",,{},True,gemini__20__3__ava__middle_near_miss__289019.jpg__98209b9d52,STOP,"{'candidatesTokenCount': 165, 'totalTokenCount': 930, 'thoughtsTokenCount': 77, 'promptTokensDetails': [{'tokenCount': 430, 'modality': 'TEXT'}, {'tokenCount': 258, 'modality': 'IMAGE'}], 'promptTokenCount': 688}",4,0,True,[],True
gemini__20__4__ava__middle_near_miss__318129.jpg__33b4849e1b,/home/omen_pc1/ava/images/318129.jpg,318129.jpg,ava,middle_near_miss,near_miss,medium,0.502974,0.524081,0.432986,0.476423,0.484477,1781,0.5933333333333334,train,4.353175,,gemini_batch_api,gemini-2.5-pro,"{
  ""comment_type"": ""near_miss_feedback"",
  ""short_reason"": ""The dynamic curves of the chrome motorcycle fender are compelling, but the composition is too tight on the right and bottom, cutting off key parts of the bike."",
  ""detailed_reason"": ""This image has a strong element in the flowing, reflective chrome surfaces of the custom motorcycle, particularly the rear fender and wheel. However, the framing is a significant limitation; the composition feels cramped, cutting off the bottom of the rear tire and the end of the chrome swingarm on the right. A wider shot that includes the entire rear wheel and more of the bike's frame would create a more balanced and complete composition."",
  ""comparison_reason"": null
}",,,near_miss_feedback,"The dynamic curves of the chrome motorcycle fender are compelling, but the composition is too tight on the right and bottom, cutting off key parts of the bike.","This image has a strong element in the flowing, reflective chrome surfaces of the custom motorcycle, particularly the rear fender and wheel. However, the framing is a significant limitation; the composition feels cramped, cutting off the bottom of the rear tire and the end of the chrome swingarm on the right. A wider shot that includes the entire rear wheel and more of the bike's frame would create a more balanced and complete composition.",,{},True,gemini__20__4__ava__middle_near_miss__318129.jpg__33b4849e1b,STOP,"{'promptTokensDetails': [{'tokenCount': 430, 'modality': 'TEXT'}, {'tokenCount': 258, 'modality': 'IMAGE'}], 'promptTokenCount': 688, 'candidatesTokenCount': 157, 'totalTokenCount': 950, 'thoughtsTokenCount': 105}",5,0,True,[],True
gemini__20__5__ava__middle_near_miss__905212.jpg__5c96df41b5,/home/omen_pc1/ava/images/905212.jpg,905212.jpg,ava,middle_near_miss,near_miss,medium,0.518264,0.448589,0.578123,0.520324,0.510854,1147,0.382,train,4.993902,,gemini_batch_api,gemini-2.5-pro,"{
  ""comment_type"": ""near_miss_feedback"",
  ""short_reason"": ""The framing of the yellow, house-shaped object through the foreground hole is creative, but the soft focus on the main subject slightly weakens the image's impact."",
  ""detailed_reason"": ""This image has a strong creative element, using a circular opening in a yellow foreground to frame a smaller, similarly colored object that resembles a small house. This framing creates a compelling peephole effect. However, the main subject—the house-shaped object—is slightly soft and lacks sharp focus, which reduces its definition against the out-of-focus background. A sharper focus on the central yellow object would have made the subject pop more distinctly, enhancing the overall visual power of the composition."",
  ""comparison_reason"": null
}",,,near_miss_feedback,"The framing of the yellow, house-shaped object through the foreground hole is creative, but the soft focus on the main subject slightly weakens the image's impact.","This image has a strong creative element, using a circular opening in a yellow foreground to frame a smaller, similarly colored object that resembles a small house. This framing creates a compelling peephole effect. However, the main subject—the house-shaped object—is slightly soft and lacks sharp focus, which reduces its definition against the out-of-focus background. A sharper focus on the central yellow object would have made the subject pop more distinctly, enhancing the overall visual power of the composition.",,{},True,gemini__20__5__ava__middle_near_miss__905212.jpg__5c96df41b5,STOP,"{'promptTokensDetails': [{'tokenCount': 430, 'modality': 'TEXT'}, {'tokenCount': 258, 'modality': 'IMAGE'}], 'promptTokenCount': 688, 'candidatesTokenCount': 173, 'totalTokenCount': 944, 'thoughtsTokenCount': 83}",3,0,True,[],True
gemini__20__6__ava__middle_near_miss__251358.jpg__6ddd63b092,/home/omen_pc1/ava/images/251358.jpg,251358.jpg,ava,middle_near_miss,near_miss,medium,0.547228,0.518231,0.504753,0.514392,0.517189,1226,0.4083333333333333,train,5.855263,,gemini_batch_api,gemini-2.5-pro,"{
  ""comment_type"": ""near_miss_feedback"",
  ""short_reason"": ""The dramatic side-lighting on the jack-o'-lantern creates a strong mood, but the heavy posterization effect and dark outlines detract from the photographic quality."",
  ""detailed_reason"": ""This image has a strong, moody atmosphere, effectively created by the single light source from the left that casts deep shadows across the carved pumpkin's face and the surface it rests on. However, the image is significantly degraded by a heavy digital filter that creates a posterized, cartoon-like effect with thick black outlines around the pumpkin and its stem. This filter flattens the image and obscures the natural textures of the pumpkin's skin. To improve, this shot should be presented without the artificial filter to let the dramatic lighting and natural subject stand on their own."",
  ""comparison_reason"": null
}",,,near_miss_feedback,"The dramatic side-lighting on the jack-o'-lantern creates a strong mood, but the heavy posterization effect and dark outlines detract from the photographic quality.","This image has a strong, moody atmosphere, effectively created by the single light source from the left that casts deep shadows across the carved pumpkin's face and the surface it rests on. However, the image is significantly degraded by a heavy digital filter that creates a posterized, cartoon-like effect with thick black outlines around the pumpkin and its stem. This filter flattens the image and obscures the natural textures of the pumpkin's skin. To improve, this shot should be presented without the artificial filter to let the dramatic lighting and natural subject stand on their own.",,{},True,gemini__20__6__ava__middle_near_miss__251358.jpg__6ddd63b092,STOP,"{'promptTokenCount': 688, 'promptTokensDetails': [{'tokenCount': 430, 'modality': 'TEXT'}, {'tokenCount': 258, 'modality': 'IMAGE'}], 'totalTokenCount': 983, 'thoughtsTokenCount': 108, 'candidatesTokenCount': 187}",3,0,True,[],True
gemini__20__7__aadb__rejected_low__farm1_291_20282188755_267821a9d9_b.jpg__4023c1487d,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_291_20282188755_267821a9d9_b.jpg,farm1_291_20282188755_267821a9d9_b.jpg,aadb,rejected_low,not_selected,weak,0.503603,0.507455,0.394839,0.450762,0.461831,2203,0.734,train,,0.75,gemini_batch_api,gemini-2.5-pro,"{
  ""comment_type"": ""rejection_reason"",
  ""short_reason"": ""The composition is weakened by the tall, thin pole on the left which cuts through the roof of the beige building."",
  ""detailed_reason"": ""This is a straightforward, documentary-style shot of a street scene that lacks a strong focal point. The composition is unbalanced, with a tall, thin pole and a partial green building on the far left creating a visual distraction. The bright, direct sunlight creates some harsh shadows and a slightly washed-out sky, diminishing the overall visual impact."",
  ""comparison_reason"": null
}",,,rejection_reason,"The composition is weakened by the tall, thin pole on the left which cuts through the roof of the beige building.","This is a straightforward, documentary-style shot of a street scene that lacks a strong focal point. The composition is unbalanced, with a tall, thin pole and a partial green building on the far left creating a visual distraction. The bright, direct sunlight creates some harsh shadows and a slightly washed-out sky, diminishing the overall visual impact.",,{},True,gemini__20__7__aadb__rejected_low__farm1_291_20282188755_267821a9d9_b.jpg__4023c1487d,STOP,"{'promptTokenCount': 676, 'promptTokensDetails': [{'tokenCount': 418, 'modality': 'TEXT'}, {'tokenCount': 258, 'modality': 'IMAGE'}], 'thoughtsTokenCount': 110, 'totalTokenCount': 917, 'candidatesTokenCount': 131}",5,0,True,[],True
gemini__20__8__aadb__rejected_low__farm1_387_20196562681_21917947e5_b.jpg__6720571b58,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_387_20196562681_21917947e5_b.jpg,farm1_387_20196562681_21917947e5_b.jpg,aadb,rejected_low,not_selected,weak,0.5139,0.455718,0.396205,0.43178,0.44064,2424,0.8076666666666666,train,,0.4,gemini_batch_api,gemini-2.5-pro,"{
  ""comment_type"": ""rejection_reason"",
  ""short_reason"": ""The composition is unbalanced, with a large, dark, and mostly empty street in the foreground that detracts from the distant Panthéon."",
  ""detailed_reason"": ""This image is weakened by its composition and flat lighting. The lower left quadrant is dominated by a dark, empty street and a crosswalk, which creates a large area of negative space. The main subject, the Panthéon, is centered but distant, and its details are obscured by scaffolding and a construction crane. The lighting is overcast and lacks contrast, resulting in a gray, washed-out look across the entire scene, from the buildings on the left to the sidewalk on the right."",
  ""comparison_reason"": null
}",,,rejection_reason,"The composition is unbalanced, with a large, dark, and mostly empty street in the foreground that detracts from the distant Panthéon.","This image is weakened by its composition and flat lighting. The lower left quadrant is dominated by a dark, empty street and a crosswalk, which creates a large area of negative space. The main subject, the Panthéon, is centered but distant, and its details are obscured by scaffolding and a construction crane. The lighting is overcast and lacks contrast, resulting in a gray, washed-out look across the entire scene, from the buildings on the left to the sidewalk on the right.",,{},True,gemini__20__8__aadb__rejected_low__farm1_387_20196562681_21917947e5_b.jpg__6720571b58,STOP,"{'candidatesTokenCount': 166, 'thoughtsTokenCount': 95, 'totalTokenCount': 937, 'promptTokensDetails': [{'tokenCount': 418, 'modality': 'TEXT'}, {'tokenCount': 258, 'modality': 'IMAGE'}], 'promptTokenCount': 676}",5,0,True,[],True
gemini__20__9__aadb__selected_high__farm1_312_20202777095_9ba3d5187b_b.jpg__cdff10908f,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_312_20202777095_9ba3d5187b_b.jpg,farm1_312_20202777095_9ba3d5187b_b.jpg,aadb,selected_high,selected,strong,0.475758,0.653043,0.581378,0.599482,0.597784,397,0.132,train,,0.125,gemini_batch_api,gemini-2.5-pro,"{
  ""comment_type"": ""selected_explanation"",
  ""short_reason"": ""The shallow depth of field effectively isolates the sunlit red leaves on the central branch from the soft green background."",
  ""detailed_reason"": ""This image uses a very shallow depth of field to create a strong focal point on the central branch with its vibrant red leaves. The sunlight catches the edges of these leaves, making them glow against the much darker, out-of-focus green foliage behind them. The diagonal line of the branch leads the eye through the frame, while the contrast between the red and green creates a visually appealing color palette."",
  ""comparison_reason"": null
}",,,selected_explanation,The shallow depth of field effectively isolates the sunlit red leaves on the central branch from the soft green background.,"This image uses a very shallow depth of field to create a strong focal point on the central branch with its vibrant red leaves. The sunlight catches the edges of these leaves, making them glow against the much darker, out-of-focus green foliage behind them. The diagonal line of the branch leads the eye through the frame, while the contrast between the red and green creates a visually appealing color palette.",,{},True,gemini__20__9__aadb__selected_high__farm1_312_20202777095_9ba3d5187b_b.jpg__cdff10908f,STOP,"{'totalTokenCount': 896, 'thoughtsTokenCount': 70, 'candidatesTokenCount': 141, 'promptTokenCount': 685, 'promptTokensDetails': [{'tokenCount': 427, 'modality': 'TEXT'}, {'tokenCount': 258, 'modality': 'IMAGE'}]}",3,0,True,[],True
gemini__20__13__aadb__middle_near_miss__farm1_324_20104961615_2c73ba70b6_b.jpg__0a3269a54a,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_324_20104961615_2c73ba70b6_b.jpg,farm1_324_20104961615_2c73ba70b6_b.jpg,aadb,middle_near_miss,near_miss,medium,0.498693,0.437287,0.496649,0.473109,0.470243,1838,0.6123333333333333,train,,0.4,gemini_batch_api,gemini-2.5-pro,"{
  ""comment_type"": ""near_miss_feedback"",
  ""short_reason"": ""The action is well-captured, but the cluttered background with power lines and buildings distracts from the players."",
  ""detailed_reason"": ""The photograph successfully freezes a moment of action, showing the defensive play between the man in the white tank top and the man in the blue shirt. However, the background is visually busy, featuring a building, a yellow fence, numerous power lines, and distant structures that pull focus away from the game. A lower camera angle, looking slightly up at the players, could have minimized the background clutter and used the overcast sky as a simpler backdrop, making the subjects stand out more."",
  ""comparison_reason"": null
}",,,near_miss_feedback,"The action is well-captured, but the cluttered background with power lines and buildings distracts from the players.","The photograph successfully freezes a moment of action, showing the defensive play between the man in the white tank top and the man in the blue shirt. However, the background is visually busy, featuring a building, a yellow fence, numerous power lines, and distant structures that pull focus away from the game. A lower camera angle, looking slightly up at the players, could have minimized the background clutter and used the overcast sky as a simpler backdrop, making the subjects stand out more.",,{},True,gemini__20__13__aadb__middle_near_miss__farm1_324_20104961615_2c73ba70b6_b.jpg__0a3269a54a,STOP,"{'promptTokensDetails': [{'tokenCount': 430, 'modality': 'TEXT'}, {'tokenCount': 258, 'modality': 'IMAGE'}], 'promptTokenCount': 688, 'candidatesTokenCount': 158, 'totalTokenCount': 930, 'thoughtsTokenCount': 84}",6,0,True,[],True
gemini__20__14__ava__rejected_low__9593.jpg__d6f43a7838,/home/omen_pc1/ava/images/9593.jpg,9593.jpg,ava,rejected_low,not_selected,weak,0.519362,0.476198,0.32279,0.40381,0.421309,2701,0.9,train,5.154255,,gemini_batch_api,gemini-2.5-pro,"{
  ""comment_type"": ""rejection_reason"",
  ""short_reason"": ""The image is poorly lit and tightly cropped, obscuring the subject, which appears to be a finger touching a reflective surface with an Apple logo."",
  ""detailed_reason"": ""This is a very dark, low-light macro shot that suffers from significant motion blur and digital noise, which is especially visible on the finger's skin texture. The composition is confusing because the tight framing cuts off both the finger and the object it's touching. The only clearly identifiable element is the reflection of the Apple logo, but the overall scene is ambiguous and lacks a clear focal point."",
  ""comparison_reason"": null
}",,,rejection_reason,"The image is poorly lit and tightly cropped, obscuring the subject, which appears to be a finger touching a reflective surface with an Apple logo.","This is a very dark, low-light macro shot that suffers from significant motion blur and digital noise, which is especially visible on the finger's skin texture. The composition is confusing because the tight framing cuts off both the finger and the object it's touching. The only clearly identifiable element is the reflection of the Apple logo, but the overall scene is ambiguous and lacks a clear focal point.",,{},True,gemini__20__14__ava__rejected_low__9593.jpg__d6f43a7838,STOP,"{'candidatesTokenCount': 149, 'totalTokenCount': 939, 'thoughtsTokenCount': 114, 'promptTokensDetails': [{'tokenCount': 418, 'modality': 'TEXT'}, {'tokenCount': 258, 'modality': 'IMAGE'}], 'promptTokenCount': 676}",2,0,True,[],True
