rank,image_path,selected,final_score_after_rerank,base_score,vila_score_raw,vila_score_normalized_in_pool,acut_short_reason,acut_detailed_reason,acut_comparison_reason,status
1,test_samples/KakaoTalk_20260330_180646779_10.jpg,True,0.597029,0.583427,0.332567,0.747148,"Composition carried this frame into the A-cut, helped by aesthetic score.","Ranked #1 with a final score of 0.597, staying 0.082 above the cut line. The comparison was mostly won on composition-side evidence rather than raw score spread alone. KakaoTalk_20260330_180646779_08.jpg stayed closest in rank, yet composition and aesthetic score kept this frame ahead, although background cleanliness was weaker. VILA mostly backed the decision through composition, with lighting and background cleanliness still softer.","KakaoTalk_20260330_180646779_08.jpg stayed closest in rank, yet composition and aesthetic score kept this frame ahead, although background cleanliness was weaker.",selected
2,test_samples/KakaoTalk_20260330_180646779_08.jpg,True,0.568042,0.529155,0.388152,1.0,The selector held this frame on technical quality; background cleanliness and composition created the clearest edge.,"Ranked #2 with a final score of 0.568, staying 0.053 above the cut line. Technical quality was the selector's clearest lever here, and background cleanliness and composition created most of the separation. The selector leaned on technical quality (0.554 vs 0.513 aesthetic). Relative to KakaoTalk_20260330_180646779_07.jpg, the score edge was slightly higher by 0.011, driven mostly by background cleanliness and overall image appeal, although technical quality was weaker.","Relative to KakaoTalk_20260330_180646779_07.jpg, the score edge was slightly higher by 0.011, driven mostly by background cleanliness and overall image appeal, although technical quality was weaker. The nearby comparison with KakaoTalk_20260330_180646779_10.jpg tilted on background cleanliness and subject clarity, and the VILA score was higher by 0.056.",selected
3,test_samples/KakaoTalk_20260330_180646779_07.jpg,True,0.557282,0.551174,0.316095,0.672216,The selector held this frame on technical quality; aesthetic score created the clearest edge.,"Ranked #3 with a final score of 0.557, staying 0.043 above the cut line. Technical quality was the selector's clearest lever here, and aesthetic score created most of the separation. The selector leaned on technical quality (0.592 vs 0.524 aesthetic). Relative to KakaoTalk_20260330_180646779_08.jpg, the score edge was slightly lower by 0.011, driven mostly by technical quality and aesthetic score, although background cleanliness was weaker.","Relative to KakaoTalk_20260330_180646779_08.jpg, the score edge was slightly lower by 0.011, driven mostly by technical quality and aesthetic score, although background cleanliness was weaker. The nearby comparison with KakaoTalk_20260330_180646779_11.jpg tilted on subject clarity and background cleanliness, and the VILA score was higher by 0.070.",selected
4,test_samples/KakaoTalk_20260330_180646779_11.jpg,True,0.524098,0.54979,0.246186,0.354206,"This frame cleared the cut by a small edge, mostly through composition and aesthetic score.","Ranked #4 with a final score of 0.521, staying 0.006 above the cut line. The margin was slim, and composition and aesthetic score only just covered for weaker background cleanliness and subject clarity. KakaoTalk_20260330_180646779_06.jpg stayed closest in rank, yet composition and overall image appeal kept this frame ahead, although background cleanliness was weaker. VILA mostly backed the decision through composition, with lighting and subject clarity still softer.","KakaoTalk_20260330_180646779_06.jpg stayed closest in rank, yet composition and overall image appeal kept this frame ahead, although background cleanliness was weaker. Against KakaoTalk_20260330_180646779_07.jpg, the clearest edges were overall image appeal and technical quality, and the VILA score was lower by 0.070.",selected
5,test_samples/KakaoTalk_20260330_180646779_06.jpg,True,0.518915,0.49326,0.359063,0.867675,It stayed in on a narrow margin because background cleanliness and subject clarity barely outweighed lighting and aesthetic score.,"Ranked #5 with a final score of 0.519, staying 0.004 above the cut line. It survived the cut line by holding a small edge on background cleanliness and subject clarity while lighting and aesthetic score stayed softer. Relative to KakaoTalk_20260330_180646779.jpg, the score edge was roughly tied (+0.004), driven mostly by background cleanliness and subject clarity, although overall image appeal was weaker. On the VILA side, background cleanliness supported the pick more than lighting and overall image quality hurt it.","Relative to KakaoTalk_20260330_180646779.jpg, the score edge was roughly tied (+0.004), driven mostly by background cleanliness and subject clarity, although overall image appeal was weaker. The nearby comparison with KakaoTalk_20260330_180646779_11.jpg tilted on background cleanliness and subject clarity, and the VILA score was higher by 0.113.",selected
6,test_samples/KakaoTalk_20260330_180646779.jpg,False,0.514736,0.514763,0.302605,0.610854,"It missed the A-cut mainly because background cleanliness and subject clarity trailed the selected set, even though lighting and aesthetic score remained acceptable.","Ranked #6 with a final score of 0.515, trailing the cut line by 0.004. The tradeoff broke against this frame once background cleanliness and subject clarity fell behind the cut-line alternatives. Against KakaoTalk_20260330_180646779_06.jpg, the final score was roughly tied (-0.004) and the main deficits were background cleanliness and subject clarity, although overall image appeal remained competitive. The prompt signals were mixed, but lighting and overall image quality remained the larger issue.","Against KakaoTalk_20260330_180646779_06.jpg, the final score was roughly tied (-0.004) and the main deficits were background cleanliness and subject clarity, although overall image appeal remained competitive. Against KakaoTalk_20260330_180646779_05.jpg, the weaker areas were background cleanliness and lighting, while the VILA score was lower by 0.050.",rejected
7,test_samples/KakaoTalk_20260330_180646779_05.jpg,False,0.490297,0.490297,0.35227,,"It missed the A-cut mainly because composition and subject clarity trailed the selected set, even though background cleanliness and lighting remained acceptable.","Ranked #7 with a final score of 0.490, trailing the cut line by 0.029. The tradeoff broke against this frame once composition and subject clarity fell behind the cut-line alternatives. Against KakaoTalk_20260330_180646779_12.jpg, the final score was roughly tied (+0.007) and the main deficits were composition and overall image appeal, although background cleanliness remained competitive. The prompt signals were mixed, but overall image quality and lighting remained the larger issue.","Against KakaoTalk_20260330_180646779_12.jpg, the final score was roughly tied (+0.007) and the main deficits were composition and overall image appeal, although background cleanliness remained competitive. The nearby comparison with KakaoTalk_20260330_180646779.jpg was lost on overall image appeal and technical quality, while the VILA score was higher by 0.050.",rejected
8,test_samples/KakaoTalk_20260330_180646779_12.jpg,False,0.583335,0.567433,0.337625,0.770154,"It missed the A-cut mainly because background cleanliness and lighting trailed the selected set, even though composition and subject clarity remained acceptable.","Ranked #8 with a final score of 0.483, trailing the cut line by 0.036. The tradeoff broke against this frame once background cleanliness and lighting fell behind the cut-line alternatives. KakaoTalk_20260330_180646779_05.jpg stayed ahead because background cleanliness and lighting were weaker here, although composition remained competitive. The prompt signals were mixed, but lighting and background cleanliness remained the larger issue.","KakaoTalk_20260330_180646779_05.jpg stayed ahead because background cleanliness and lighting were weaker here, although composition remained competitive. Against KakaoTalk_20260330_180646779_04.jpg, the weaker areas were background cleanliness and lighting, while the VILA score was higher by 0.066.",rejected
9,test_samples/KakaoTalk_20260330_180646779_04.jpg,False,0.475542,0.475542,0.271547,,Rejected after the tradeoff broke the wrong way: background cleanliness and lighting were not enough to offset composition and subject clarity.,"Ranked #9 with a final score of 0.476, trailing the cut line by 0.043. The surviving positives on background cleanliness and lighting were real, but they did not cover for weaker composition and subject clarity. Against KakaoTalk_20260330_180646779_12.jpg, the final score was roughly tied (-0.008) and the main deficits were composition and subject clarity, although background cleanliness remained competitive. VILA did not rescue the frame: lighting and overall image quality stayed behind despite background cleanliness.","Against KakaoTalk_20260330_180646779_12.jpg, the final score was roughly tied (-0.008) and the main deficits were composition and subject clarity, although background cleanliness remained competitive. The nearby comparison with KakaoTalk_20260330_180646779_13.jpg was lost on aesthetic score and overall image appeal, while the VILA score was higher by 0.103.",rejected
10,test_samples/KakaoTalk_20260330_180646779_13.jpg,False,0.467107,0.52822,0.168321,0.0,This frame fell below the cut when background cleanliness and subject clarity outweighed aesthetic score and technical quality in nearby comparisons.,"Ranked #10 with a final score of 0.467, trailing the cut line by 0.052. The tradeoff broke against this frame once background cleanliness and subject clarity fell behind the cut-line alternatives. Against KakaoTalk_20260330_180646779_04.jpg, the final score was slightly lower by 0.008 and the main deficits were background cleanliness and subject clarity, although aesthetic score remained competitive. Prompt-side evidence also slipped on lighting and subject clarity, although composition was not absent.","Against KakaoTalk_20260330_180646779_04.jpg, the final score was slightly lower by 0.008 and the main deficits were background cleanliness and subject clarity, although aesthetic score remained competitive. Against KakaoTalk_20260330_180646779_03.jpg, the weaker areas were background cleanliness and lighting.",rejected
11,test_samples/KakaoTalk_20260330_180646779_03.jpg,False,0.441248,0.441248,0.158261,,"It missed the A-cut mainly because aesthetic score and composition trailed the selected set, even though background cleanliness and lighting remained acceptable.","Ranked #11 with a final score of 0.441, trailing the cut line by 0.078. The surviving positives on background cleanliness and lighting were real, but they did not cover for weaker aesthetic score and composition. Against KakaoTalk_20260330_180646779_13.jpg, the final score was lower by 0.026 and the main deficits were overall image appeal and aesthetic score, although background cleanliness remained competitive. The prompt signals were mixed, but subject clarity and lighting remained the larger issue.","Against KakaoTalk_20260330_180646779_13.jpg, the final score was lower by 0.026 and the main deficits were overall image appeal and aesthetic score, although background cleanliness remained competitive. Against KakaoTalk_20260330_180646779_01.jpg, the weaker areas were composition and subject clarity, while the VILA score was lower by 0.155.",rejected
12,test_samples/KakaoTalk_20260330_180646779_01.jpg,False,0.502165,0.497328,0.313298,0.659492,Rejected after the tradeoff broke the wrong way: composition and subject clarity were not enough to offset background cleanliness and lighting.,"Ranked #12 with a final score of 0.409, trailing the cut line by 0.110. It remained close in places, yet the loss concentrated on background cleanliness and lighting. KakaoTalk_20260330_180646779_02.jpg stayed ahead because background cleanliness and lighting were weaker here, although composition remained competitive. VILA did not rescue the frame: lighting and overall image quality stayed behind despite composition.","KakaoTalk_20260330_180646779_02.jpg stayed ahead because background cleanliness and lighting were weaker here, although composition remained competitive. The nearby comparison with KakaoTalk_20260330_180646779_03.jpg was lost on lighting, while the VILA score was higher by 0.155.",rejected
13,test_samples/KakaoTalk_20260330_180646779_02.jpg,False,0.483408,0.501568,0.262745,0.42953,This frame fell below the cut when composition and subject clarity outweighed background cleanliness and lighting in nearby comparisons.,"Ranked #13 with a final score of 0.402, trailing the cut line by 0.117. The tradeoff broke against this frame once composition and subject clarity fell behind the cut-line alternatives. Against KakaoTalk_20260330_180646779_01.jpg, the final score was roughly tied (-0.008) and the main deficits were composition and overall image appeal, although background cleanliness remained competitive. Prompt-side evidence also slipped on lighting and overall image quality, although background cleanliness was not absent.","Against KakaoTalk_20260330_180646779_01.jpg, the final score was roughly tied (-0.008) and the main deficits were composition and overall image appeal, although background cleanliness remained competitive. Against KakaoTalk_20260330_180646779_14.jpg, the weaker area was lighting, while the VILA score was higher by 0.056.",rejected
14,test_samples/KakaoTalk_20260330_180646779_14.jpg,False,0.442064,0.442064,0.20681,,"It missed the A-cut mainly because background cleanliness and subject clarity trailed the selected set, even though lighting remained acceptable.","Ranked #14 with a final score of 0.374, trailing the cut line by 0.145. The surviving positives on lighting were real, but they did not cover for weaker background cleanliness and subject clarity. Against KakaoTalk_20260330_180646779_09.jpg, the final score was slightly higher by 0.020 and the main deficits were background cleanliness and subject clarity, although lighting remained competitive. The prompt signals were mixed, but subject clarity and overall image quality remained the larger issue.","Against KakaoTalk_20260330_180646779_09.jpg, the final score was slightly higher by 0.020 and the main deficits were background cleanliness and subject clarity, although lighting remained competitive. Against KakaoTalk_20260330_180646779_02.jpg, the weaker areas were subject clarity and aesthetic score, while the VILA score was lower by 0.056.",rejected
15,test_samples/KakaoTalk_20260330_180646779_09.jpg,False,0.474356,0.474356,0.310421,,"It missed the A-cut mainly because lighting trailed the selected set, even though background cleanliness and subject clarity remained acceptable.","Ranked #15 with a final score of 0.354, trailing the cut line by 0.165. The surviving positives on background cleanliness and subject clarity were real, but they did not cover for weaker lighting. Against KakaoTalk_20260330_180646779_14.jpg, the final score was slightly lower by 0.020 and the main deficits were lighting, although background cleanliness remained competitive. The prompt signals were mixed, but lighting and overall image quality remained the larger issue.","Against KakaoTalk_20260330_180646779_14.jpg, the final score was slightly lower by 0.020 and the main deficits were lighting, although background cleanliness remained competitive.",rejected
