rank,image_path,image_file_name,selected,active_explanation_source,baseline_status,baseline_short_reason,baseline_detailed_reason,baseline_comparison_reason,baseline_tags,gemini_multimodal_status,gemini_multimodal_short_reason,gemini_multimodal_detailed_reason,gemini_multimodal_comparison_reason,gemini_multimodal_tags,vila_full_local_status,vila_full_local_short_reason,vila_full_local_detailed_reason,vila_full_local_comparison_reason,vila_full_local_tags
1,test_samples/KakaoTalk_20260330_180646779_10.jpg,KakaoTalk_20260330_180646779_10.jpg,True,vila_full_local,generated,"Composition carried this frame into the A-cut, helped by technical quality.","Ranked #1 with a final score of 0.597, staying 0.078 above the cut line. The comparison was mostly won on composition-side evidence rather than raw score spread alone. KakaoTalk_20260330_180646779_12.jpg stayed closest in rank, yet composition and technical quality kept this frame ahead, although subject clarity was weaker. VILA mostly backed the decision through composition, with lighting and background cleanliness still softer.","KakaoTalk_20260330_180646779_12.jpg stayed closest in rank, yet composition and technical quality kept this frame ahead, although subject clarity was weaker.","[""technical"",""composition"",""technical quality"",""overall image appeal"",""subject clarity"",""background cleanliness"",""lighting"",""selector_reasoning""]",,,,,[],generated,composition weak relative to nearby frames,,#1 of 15 selected above cut line rank #5 by +0.,"[""composition"",""lighting""]"
2,test_samples/KakaoTalk_20260330_180646779_12.jpg,KakaoTalk_20260330_180646779_12.jpg,True,vila_full_local,generated,"A balanced score profile kept this frame above the cut, led by subject clarity and background cleanliness.","Ranked #2 with a final score of 0.583, staying 0.064 above the cut line. The selector did not rely on one spike; it held together through subject clarity and background cleanliness. The selector stayed balanced between aesthetic (0.560) and technical (0.579) components. KakaoTalk_20260330_180646779_10.jpg stayed closest in rank, yet subject clarity and background cleanliness kept this frame ahead, although composition was weaker.","KakaoTalk_20260330_180646779_10.jpg stayed closest in rank, yet subject clarity and background cleanliness kept this frame ahead, although composition was weaker. Against KakaoTalk_20260330_180646779_08.jpg, the clearest edges were composition and aesthetic score, and the VILA score was lower by 0.051.","[""balanced"",""subject clarity"",""background cleanliness"",""composition"",""technical quality"",""overall image appeal"",""lighting"",""selector_reasoning""]",,,,,[],generated,composition and lighting are strong,,,[]
3,test_samples/KakaoTalk_20260330_180646779_08.jpg,KakaoTalk_20260330_180646779_08.jpg,True,vila_full_local,generated,"Selected on technical consistency, with background cleanliness and composition keeping it ahead of nearby alternatives.","Ranked #3 with a final score of 0.568, staying 0.049 above the cut line. The technical backbone stayed stronger, and VILA agreed on composition. The selector leaned on technical quality (0.554 vs 0.513 aesthetic). Relative to KakaoTalk_20260330_180646779_07.jpg, the score edge was slightly higher by 0.011, driven mostly by background cleanliness and overall image appeal, although technical quality was weaker.","Relative to KakaoTalk_20260330_180646779_07.jpg, the score edge was slightly higher by 0.011, driven mostly by background cleanliness and overall image appeal, although technical quality was weaker. The nearby comparison with KakaoTalk_20260330_180646779_12.jpg tilted on background cleanliness and overall image appeal, and the VILA score was higher by 0.051.","[""technical"",""background cleanliness"",""overall image appeal"",""composition"",""technical quality"",""aesthetic score"",""subject clarity"",""lighting"",""overall image quality"",""selector_reasoning""]",,,,,[],generated,composition weak relative to nearby frames,,,[]
4,test_samples/KakaoTalk_20260330_180646779_07.jpg,KakaoTalk_20260330_180646779_07.jpg,True,baseline_acut,generated,"Selected on technical consistency, with aesthetic score keeping it ahead of nearby alternatives.","Ranked #4 with a final score of 0.557, staying 0.038 above the cut line. The technical backbone stayed stronger, and VILA agreed on composition. The selector leaned on technical quality (0.592 vs 0.524 aesthetic). Against KakaoTalk_20260330_180646779_08.jpg, the final score was slightly lower by 0.011, but technical quality and aesthetic score stayed stronger, although background cleanliness was weaker.","Against KakaoTalk_20260330_180646779_08.jpg, the final score was slightly lower by 0.011, but technical quality and aesthetic score stayed stronger, although background cleanliness was weaker. The nearby comparison with KakaoTalk_20260330_180646779_11.jpg tilted on subject clarity and background cleanliness, and the VILA score was higher by 0.070.","[""technical"",""technical quality"",""aesthetic score"",""subject clarity"",""background cleanliness"",""overall image appeal"",""composition"",""lighting"",""overall image quality"",""selector_reasoning""]",,,,,[],,,,,[]
5,test_samples/KakaoTalk_20260330_180646779_11.jpg,KakaoTalk_20260330_180646779_11.jpg,True,baseline_acut,generated,It stayed in on a narrow margin because composition and aesthetic score barely outweighed background cleanliness and subject clarity.,"Ranked #5 with a final score of 0.524, staying 0.005 above the cut line. It survived the cut line by holding a small edge on composition and aesthetic score while background cleanliness and subject clarity stayed softer. KakaoTalk_20260330_180646779_06.jpg stayed closest in rank, yet composition and overall image appeal kept this frame ahead, although background cleanliness was weaker. On the VILA side, composition supported the pick more than lighting and subject clarity hurt it.","KakaoTalk_20260330_180646779_06.jpg stayed closest in rank, yet composition and overall image appeal kept this frame ahead, although background cleanliness was weaker. Against KakaoTalk_20260330_180646779_07.jpg, the clearest edges were overall image appeal and technical quality, and the VILA score was lower by 0.070.","[""technical"",""composition"",""overall image appeal"",""aesthetic score"",""background cleanliness"",""subject clarity"",""lighting"",""selector_reasoning""]",,,,,[],,,,,[]
6,test_samples/KakaoTalk_20260330_180646779_06.jpg,KakaoTalk_20260330_180646779_06.jpg,False,baseline_acut,generated,"It missed the A-cut mainly because composition and aesthetic score trailed the selected set, even though background cleanliness and subject clarity remained acceptable.","Ranked #6 with a final score of 0.519, trailing the cut line by 0.005. The tradeoff broke against this frame once composition and aesthetic score fell behind the cut-line alternatives. Against KakaoTalk_20260330_180646779_11.jpg, the final score was roughly tied (-0.005) and the main deficits were composition and overall image appeal, although background cleanliness remained competitive. The prompt signals were mixed, but lighting and overall image quality remained the larger issue.","Against KakaoTalk_20260330_180646779_11.jpg, the final score was roughly tied (-0.005) and the main deficits were composition and overall image appeal, although background cleanliness remained competitive. The nearby comparison with KakaoTalk_20260330_180646779.jpg was lost on overall image appeal and lighting, while the VILA score was higher by 0.056.","[""technical"",""background cleanliness"",""subject clarity"",""lighting"",""composition"",""overall image appeal"",""aesthetic score"",""overall image quality"",""selector_reasoning""]",,,,,[],,,,,[]
7,test_samples/KakaoTalk_20260330_180646779.jpg,KakaoTalk_20260330_180646779.jpg,False,baseline_acut,generated,Rejected after the tradeoff broke the wrong way: lighting and aesthetic score were not enough to offset background cleanliness and subject clarity.,"Ranked #7 with a final score of 0.515, trailing the cut line by 0.009. The surviving positives on lighting and aesthetic score were real, but they did not cover for weaker background cleanliness and subject clarity. KakaoTalk_20260330_180646779_06.jpg stayed ahead because background cleanliness and subject clarity were weaker here, although overall image appeal remained competitive. VILA did not rescue the frame: lighting and overall image quality stayed behind despite background cleanliness.","KakaoTalk_20260330_180646779_06.jpg stayed ahead because background cleanliness and subject clarity were weaker here, although overall image appeal remained competitive. The nearby comparison with KakaoTalk_20260330_180646779_01.jpg was lost on composition and overall image appeal.","[""technical"",""overall image appeal"",""lighting"",""aesthetic score"",""background cleanliness"",""subject clarity"",""composition"",""overall image quality"",""selector_reasoning""]",,,,,[],,,,,[]
8,test_samples/KakaoTalk_20260330_180646779_01.jpg,KakaoTalk_20260330_180646779_01.jpg,False,baseline_acut,generated,"It missed the A-cut mainly because background cleanliness and lighting trailed the selected set, even though composition and aesthetic score remained acceptable.","Ranked #8 with a final score of 0.502, trailing the cut line by 0.022. The tradeoff broke against this frame once background cleanliness and lighting fell behind the cut-line alternatives. Against KakaoTalk_20260330_180646779_05.jpg, the final score was slightly higher by 0.012 and the main deficits were background cleanliness and lighting, although composition remained competitive. The prompt signals were mixed, but lighting and overall image quality remained the larger issue.","Against KakaoTalk_20260330_180646779_05.jpg, the final score was slightly higher by 0.012 and the main deficits were background cleanliness and lighting, although composition remained competitive. The nearby comparison with KakaoTalk_20260330_180646779.jpg was lost on background cleanliness and lighting.","[""technical"",""composition"",""overall image appeal"",""aesthetic score"",""background cleanliness"",""lighting"",""subject clarity"",""overall image quality"",""selector_reasoning""]",,,,,[],,,,,[]
9,test_samples/KakaoTalk_20260330_180646779_05.jpg,KakaoTalk_20260330_180646779_05.jpg,False,baseline_acut,generated,This frame fell below the cut when aesthetic score and composition outweighed background cleanliness and lighting in nearby comparisons.,"Ranked #9 with a final score of 0.490, trailing the cut line by 0.034. It remained close in places, yet the loss concentrated on aesthetic score and composition. Against KakaoTalk_20260330_180646779_02.jpg, the final score was roughly tied (+0.007) and the main deficits were aesthetic score and composition, although background cleanliness remained competitive. Prompt-side evidence also slipped on overall image quality and lighting, although background cleanliness was not absent.","Against KakaoTalk_20260330_180646779_02.jpg, the final score was roughly tied (+0.007) and the main deficits were aesthetic score and composition, although background cleanliness remained competitive. The nearby comparison with KakaoTalk_20260330_180646779_01.jpg was lost on composition and overall image appeal, while the VILA score was higher by 0.039.","[""technical"",""background cleanliness"",""lighting"",""subject clarity"",""aesthetic score"",""composition"",""technical quality"",""overall image quality"",""selector_reasoning""]",,,,,[],,,,,[]
10,test_samples/KakaoTalk_20260330_180646779_02.jpg,KakaoTalk_20260330_180646779_02.jpg,False,baseline_acut,generated,This frame fell below the cut when background cleanliness and lighting outweighed aesthetic score and composition in nearby comparisons.,"Ranked #10 with a final score of 0.483, trailing the cut line by 0.041. The tradeoff broke against this frame once background cleanliness and lighting fell behind the cut-line alternatives. KakaoTalk_20260330_180646779_05.jpg stayed ahead because background cleanliness and lighting were weaker here, although aesthetic score remained competitive. Prompt-side evidence also slipped on lighting and overall image quality, although background cleanliness was not absent.","KakaoTalk_20260330_180646779_05.jpg stayed ahead because background cleanliness and lighting were weaker here, although aesthetic score remained competitive. The nearby comparison with KakaoTalk_20260330_180646779_04.jpg was lost on background cleanliness and composition.","[""technical"",""aesthetic score"",""composition"",""technical quality"",""background cleanliness"",""lighting"",""subject clarity"",""overall image quality"",""selector_reasoning""]",,,,,[],,,,,[]
11,test_samples/KakaoTalk_20260330_180646779_04.jpg,KakaoTalk_20260330_180646779_04.jpg,False,baseline_acut,generated,Rejected after the tradeoff broke the wrong way: technical quality and subject clarity were not enough to offset background cleanliness and composition.,"Ranked #11 with a final score of 0.476, trailing the cut line by 0.049. It remained close in places, yet the loss concentrated on background cleanliness and composition. Against KakaoTalk_20260330_180646779_09.jpg, the final score was roughly tied (+0.001) and the main deficits were background cleanliness and composition, although technical quality remained competitive. VILA did not rescue the frame: lighting and overall image quality stayed behind despite background cleanliness.","Against KakaoTalk_20260330_180646779_09.jpg, the final score was roughly tied (+0.001) and the main deficits were background cleanliness and composition, although technical quality remained competitive. Against KakaoTalk_20260330_180646779_02.jpg, the weaker areas were aesthetic score and subject clarity.","[""technical"",""technical quality"",""subject clarity"",""background cleanliness"",""composition"",""overall image appeal"",""lighting"",""overall image quality"",""selector_reasoning""]",,,,,[],,,,,[]
12,test_samples/KakaoTalk_20260330_180646779_09.jpg,KakaoTalk_20260330_180646779_09.jpg,False,baseline_acut,generated,"It missed the A-cut mainly because technical quality and subject clarity trailed the selected set, even though background cleanliness and composition remained acceptable.","Ranked #12 with a final score of 0.474, trailing the cut line by 0.050. The surviving positives on background cleanliness and composition were real, but they did not cover for weaker technical quality and subject clarity. KakaoTalk_20260330_180646779_04.jpg stayed ahead because technical quality and subject clarity were weaker here, although background cleanliness remained competitive. The prompt signals were mixed, but lighting and overall image quality remained the larger issue.","KakaoTalk_20260330_180646779_04.jpg stayed ahead because technical quality and subject clarity were weaker here, although background cleanliness remained competitive. The nearby comparison with KakaoTalk_20260330_180646779_13.jpg was lost on aesthetic score and overall image appeal, while the VILA score was higher by 0.142.","[""technical"",""background cleanliness"",""composition"",""overall image appeal"",""technical quality"",""subject clarity"",""lighting"",""overall image quality"",""selector_reasoning""]",,,,,[],,,,,[]
