candidate_id,image_path,image_file_name,dataset_source,selection_band,selection_state,teacher_model_name,comment_type,short_reason,detailed_reason,comparison_reason,visible_anchor_count,generic_phrase_count,specificity_pass,audit_flags,is_clean
gemini__100__0__ava__middle_near_miss__43900.jpg__eedd2b005d,/home/omen_pc1/ava/images/43900.jpg,43900.jpg,ava,middle_near_miss,near_miss,gemini-2.5-pro,,,,,0,0,False,"['json_invalid', 'missing_comment_type', 'missing_short_reason', 'missing_detailed_reason', 'comment_type_mismatch', 'generic_only_wording']",False
gemini__100__1__ava__rejected_low__140804.jpg__5513c71a6f,/home/omen_pc1/ava/images/140804.jpg,140804.jpg,ava,rejected_low,not_selected,gemini-2.5-pro,,,,,0,0,False,"['json_invalid', 'missing_comment_type', 'missing_short_reason', 'missing_detailed_reason', 'comment_type_mismatch', 'generic_only_wording']",False
gemini__100__2__ava__rejected_low__306107.jpg__7fdedc565d,/home/omen_pc1/ava/images/306107.jpg,306107.jpg,ava,rejected_low,not_selected,gemini-2.5-pro,,,,,0,0,False,"['json_invalid', 'missing_comment_type', 'missing_short_reason', 'missing_detailed_reason', 'comment_type_mismatch', 'generic_only_wording']",False
gemini__100__3__ava__middle_near_miss__759788.jpg__a3ea5bd10c,/home/omen_pc1/ava/images/759788.jpg,759788.jpg,ava,middle_near_miss,near_miss,gemini-2.5-pro,,,,,0,0,False,"['json_invalid', 'missing_comment_type', 'missing_short_reason', 'missing_detailed_reason', 'comment_type_mismatch', 'generic_only_wording']",False
gemini__100__4__ava__rejected_low__355962.jpg__274449dfe4,/home/omen_pc1/ava/images/355962.jpg,355962.jpg,ava,rejected_low,not_selected,gemini-2.5-pro,,,,,0,0,False,"['json_invalid', 'missing_comment_type', 'missing_short_reason', 'missing_detailed_reason', 'comment_type_mismatch', 'generic_only_wording']",False
gemini__100__5__ava__rejected_low__873886.jpg__a0ff8bfcf0,/home/omen_pc1/ava/images/873886.jpg,873886.jpg,ava,rejected_low,not_selected,gemini-2.5-pro,,,,,0,0,False,"['json_invalid', 'missing_comment_type', 'missing_short_reason', 'missing_detailed_reason', 'comment_type_mismatch', 'generic_only_wording']",False
gemini__100__6__aadb__selected_high__farm1_390_19566486463_54be501f77_b.jpg__414bc09962,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_390_19566486463_54be501f77_b.jpg,farm1_390_19566486463_54be501f77_b.jpg,aadb,selected_high,selected,gemini-2.5-pro,,,,,0,0,False,"['json_invalid', 'missing_comment_type', 'missing_short_reason', 'missing_detailed_reason', 'comment_type_mismatch', 'generic_only_wording']",False
gemini__100__7__aadb__middle_near_miss__farm1_371_20182312601_7a8573bcd1_b.jpg__45ccb6fadd,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_371_20182312601_7a8573bcd1_b.jpg,farm1_371_20182312601_7a8573bcd1_b.jpg,aadb,middle_near_miss,near_miss,gemini-2.5-pro,near_miss_feedback,"The low-angle perspective on the stone tower is powerful, but the flat lighting from the overcast sky lessens the overall visual impact.","The composition, looking up at the ruined stone tower, creates a strong sense of scale and history. The texture of the individual stone blocks is clear and detailed. However, the uniformly grey and cloudy sky results in very flat, even lighting, which fails to create the shadows needed to emphasize the tower's roundness and rugged texture. Photographing this subject during early morning or late afternoon light would introduce directional shadows, adding depth and drama to the scene.",,1,0,False,['generic_only_wording'],False
gemini__100__8__aadb__selected_high__farm4_3782_20257244016_f48605817a_b.jpg__2c0252ab08,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm4_3782_20257244016_f48605817a_b.jpg,farm4_3782_20257244016_f48605817a_b.jpg,aadb,selected_high,selected,gemini-2.5-pro,selected_explanation,This is a strong portrait due to the subject's direct gaze and the color contrast between her magenta jacket and the neutral background.,"The portrait's strength comes from the subject's intense, direct gaze, which engages the viewer immediately. The lighting is soft and even, clearly defining the features of her face and the texture of her reddish-brown hair. The color palette is well-balanced, with the vibrant magenta of her jacket and the red of her lipstick providing striking accents against the dark turtleneck and the plain, off-white wall.",,5,0,True,[],True
gemini__100__9__ava__selected_high__627234.jpg__ec7a3d0458,/home/omen_pc1/ava/images/627234.jpg,627234.jpg,ava,selected_high,selected,gemini-2.5-pro,,,,,0,0,False,"['json_invalid', 'missing_comment_type', 'missing_short_reason', 'missing_detailed_reason', 'comment_type_mismatch', 'generic_only_wording']",False
