candidate_id,image_path,image_file_name,dataset_source,selection_band,selection_state,aesthetic_signal,nima_unit_score,rgnet_score,alamp_score,weighted_aesthetic_score,balanced_comparison_score,primary_rank,primary_rank_percentile,source_split,ava_mean_score,aadb_score,teacher_source_mode,teacher_model_name,gemini_raw_text,gemini_parse_error,gemini_api_error,comment_type,short_reason,detailed_reason,comparison_reason,generation_validation_flags,is_valid_pre_audit,gemini_request_attempts,gemini_json_repair_attempted,gemini_initial_parse_error,audit_flags,is_clean
gemini__300__2__ava__middle_near_miss__949665.jpg__2ff66f5097,/home/omen_pc1/ava/images/949665.jpg,949665.jpg,ava,middle_near_miss,near_miss,medium,0.508628,0.511695,0.486684,0.498883,0.501231,1461,0.4866666666666667,train,7.042254,,gemini_api,gemini-2.5-pro,,,"ValueError: Gemini response has no text parts: {'candidates': [{'content': {'role': 'model'}, 'finishReason': 'MAX_TOKENS', 'index': 0}], 'usageMetadata': {'promptTokenCount': 654, 'totalTokenCount': 1675, 'promptTokensDetails': [{'modality': 'TEXT', 'tokenCount': 396}, {'modality': 'IMAGE', 'tokenCount': 258}], 'thoughtsTokenCount': 1021}, 'modelVersion': 'gemini-2.5-pro', 'responseId': 'QE3vaYD5OOTv2roPydCcyQE'}",,,,,"{'parse_error': ""ValueError: Gemini response has no text parts: {'candidates': [{'content': {'role': 'model'}, 'finishReason': 'MAX_TOKENS', 'index': 0}], 'usageMetadata': {'promptTokenCount': 654, 'totalTokenCount': 1675, 'promptTokensDetails': [{'modality': 'TEXT', 'tokenCount': 396}, {'modality': 'IMAGE', 'tokenCount': 258}], 'thoughtsTokenCount': 1021}, 'modelVersion': 'gemini-2.5-pro', 'responseId': 'QE3vaYD5OOTv2roPydCcyQE'}""}",False,1,False,,"['api_error', 'missing_comment_type', 'missing_short_reason', 'missing_detailed_reason', 'comment_type_mismatch']",False
gemini__300__14__ava__middle_near_miss__118047.jpg__228f88dd26,/home/omen_pc1/ava/images/118047.jpg,118047.jpg,ava,middle_near_miss,near_miss,medium,0.51047,0.39779,0.564164,0.492245,0.481242,1540,0.513,train,5.26,,gemini_api,gemini-2.5-pro,"{
  ""comment_type"": ""near_miss_feedback"",
  ""short_reason"": ""The image successfully captures an interesting abstract texture, but the harsh lighting results in overexposed highlights and underexposed shadows, causing a loss of detail."",
  ""detailed_reason"": ""The photograph's strength lies in its composition, which",no_json_object_found,,,,,,{'parse_error': 'no_json_object_found'},False,2,True,no_json_object_found,"['json_invalid', 'missing_comment_type', 'missing_short_reason', 'missing_detailed_reason', 'comment_type_mismatch']",False
gemini__300__22__ava__rejected_low__476031.jpg__2e956e4fa0,/home/omen_pc1/ava/images/476031.jpg,476031.jpg,ava,rejected_low,not_selected,weak,0.559738,0.480383,0.403727,0.449991,0.461624,2211,0.7366666666666667,test,5.861751,,gemini_api,gemini-2.5-pro,"{
  ""comment_type"": ""rejection_reason"",
  ""short_reason"": ""The composition is cluttered and the lighting creates distracting highlights."",
  ""detailed_reason"": ""This close-up lacks a strong focal point, making the composition feel busy and cluttered. The lighting is somewhat harsh, creating bright, star-like lens flares on the ice that distract the eye. While the texture of the ice and moss is interesting, the overall image is weakened by these compositional and lighting issues."",
  ""comparison_reason"": null
}",,,rejection_reason,The composition is cluttered and the lighting creates distracting highlights.,"This close-up lacks a strong focal point, making the composition feel busy and cluttered. The lighting is somewhat harsh, creating bright, star-like lens flares on the ice that distract the eye. While the texture of the ice and moss is interesting, the overall image is weakened by these compositional and lighting issues.",,{},True,1,False,,['forced_praise'],False
gemini__300__54__ava__selected_high__46101.jpg__fd4a041d79,/home/omen_pc1/ava/images/46101.jpg,46101.jpg,ava,selected_high,selected,strong,0.534683,0.500181,0.584721,0.545901,0.539172,846,0.2816666666666667,train,6.027972,,gemini_api,gemini-2.5-pro,"{
  ""comment_type"": ""selected_explanation"",
  ""short_reason"": ""The photograph uses a dramatic low-angle perspective and strong contrast between the illuminated steeple and the black night sky to create a powerful and striking image."",
  ""detailed_reason"": ""The composition is compelling, with the steeple shot from below to emphasize its height and grandeur, leading the viewer's eye up to the golden figure at the apex. The stark contrast between the brightly lit architecture and the pitch-black",no_json_object_found,,,,,,{'parse_error': 'no_json_object_found'},False,2,True,no_json_object_found,"['json_invalid', 'missing_comment_type', 'missing_short_reason', 'missing_detailed_reason', 'comment_type_mismatch']",False
gemini__300__56__aadb__selected_high__farm1_349_20143576306_c860b1c280_b.jpg__20bb5bb335,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_349_20143576306_c860b1c280_b.jpg,farm1_349_20143576306_c860b1c280_b.jpg,aadb,selected_high,selected,strong,0.545555,0.548464,0.579755,0.563819,0.560544,671,0.22333333333333333,train,,0.8,gemini_api,gemini-2.5-pro,,,"ValueError: Gemini response has no text parts: {'candidates': [{'content': {'role': 'model'}, 'finishReason': 'MAX_TOKENS', 'index': 0}], 'usageMetadata': {'promptTokenCount': 690, 'totalTokenCount': 1711, 'promptTokensDetails': [{'modality': 'TEXT', 'tokenCount': 432}, {'modality': 'IMAGE', 'tokenCount': 258}], 'thoughtsTokenCount': 1021}, 'modelVersion': 'gemini-2.5-pro', 'responseId': 'mlHvaay6FcWf1e8P4-3ygQE'}",,,,,"{'parse_error': ""ValueError: Gemini response has no text parts: {'candidates': [{'content': {'role': 'model'}, 'finishReason': 'MAX_TOKENS', 'index': 0}], 'usageMetadata': {'promptTokenCount': 690, 'totalTokenCount': 1711, 'promptTokensDetails': [{'modality': 'TEXT', 'tokenCount': 432}, {'modality': 'IMAGE', 'tokenCount': 258}], 'thoughtsTokenCount': 1021}, 'modelVersion': 'gemini-2.5-pro', 'responseId': 'mlHvaay6FcWf1e8P4-3ygQE'}""}",False,1,False,,"['api_error', 'missing_comment_type', 'missing_short_reason', 'missing_detailed_reason', 'comment_type_mismatch']",False
gemini__300__78__aadb__selected_high__farm1_384_20009567880_f091d304ae_b.jpg__e486fce4e1,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_384_20009567880_f091d304ae_b.jpg,farm1_384_20009567880_f091d304ae_b.jpg,aadb,selected_high,selected,strong,0.58857,0.618424,0.606743,0.609598,0.609274,318,0.10566666666666667,train,,0.7,gemini_api,gemini-2.5-pro,"{
  ""comment_type"": ""selected_explanation"",
  ""short_reason"": ""This is an excellent architectural photograph, using a strong foreground arch to frame the scene and dramatic lighting to create depth and mood."",
  ""detailed_reason"": ""The composition is very effective, with the large, dark arch in the foreground acting as a natural frame that draws the viewer's eye into the grand space of the cathedral. The lighting is a key feature, with warm, golden light highlighting the vaulted ceilings and the repeating lines of the columns, creating a beautiful contrast with the deep shadows. This interplay of light and shadow not only adds a sense of drama and reverence but also emphasizes the immense scale and intricate details of the Gothic architecture."",
  ""comparison_reason"": null
}",,,selected_explanation,"This is an excellent architectural photograph, using a strong foreground arch to frame the scene and dramatic lighting to create depth and mood.","The composition is very effective, with the large, dark arch in the foreground acting as a natural frame that draws the viewer's eye into the grand space of the cathedral. The lighting is a key feature, with warm, golden light highlighting the vaulted ceilings and the repeating lines of the columns, creating a beautiful contrast with the deep shadows. This interplay of light and shadow not only adds a sense of drama and reverence but also emphasizes the immense scale and intricate details of the Gothic architecture.",,{},True,1,False,,['fake_weakness_in_selected'],False
gemini__300__135__aadb__middle_near_miss__farm1_395_19571170684_ccbb9c17b7_b.jpg__dc8a695b72,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_395_19571170684_ccbb9c17b7_b.jpg,farm1_395_19571170684_ccbb9c17b7_b.jpg,aadb,middle_near_miss,near_miss,medium,0.496454,0.545053,0.430706,0.48302,0.492024,1663,0.554,train,,0.65,gemini_api,gemini-2.5-pro,"{
  ""comment_type"": ""near_miss_feedback"",
  ""short_reason"": ""The subject is interesting and colorful, but the cluttered background distracts from the main action."",
  ""detailed_reason"": ""The image does a great job of capturing a compelling moment of traditional weaving, with beautiful, vibrant blue",no_json_object_found,"ValueError: Gemini response has no text parts: {'candidates': [{'content': {'role': 'model'}, 'finishReason': 'MAX_TOKENS', 'index': 0}], 'usageMetadata': {'promptTokenCount': 424, 'totalTokenCount': 1445, 'promptTokensDetails': [{'modality': 'TEXT', 'tokenCount': 166}, {'modality': 'IMAGE', 'tokenCount': 258}], 'thoughtsTokenCount': 1021}, 'modelVersion': 'gemini-2.5-pro', 'responseId': 'TlrvaYKrJeXt2roPtfPMgAQ'}",,,,,{'parse_error': 'no_json_object_found'},False,2,True,no_json_object_found,"['api_error', 'json_invalid', 'missing_comment_type', 'missing_short_reason', 'missing_detailed_reason', 'comment_type_mismatch']",False
gemini__300__173__aadb__middle_near_miss__farm1_460_20020756170_cafc54f5cd_b.jpg__e9cb6e1749,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_460_20020756170_cafc54f5cd_b.jpg,farm1_460_20020756170_cafc54f5cd_b.jpg,aadb,middle_near_miss,near_miss,medium,0.498794,0.432942,0.521431,0.483772,0.478215,1656,0.5516666666666666,train,,0.458,gemini_api,gemini-2.5-pro,"{
  ""comment_type"": ""near_miss_feedback"",
  ""short_reason"": ""The image presents an interesting perspective of a palace from the water, but the composition is cluttered by foreground elements and the lighting",no_json_object_found,,,,,,{'parse_error': 'no_json_object_found'},False,2,True,no_json_object_found,"['json_invalid', 'missing_comment_type', 'missing_short_reason', 'missing_detailed_reason', 'comment_type_mismatch']",False
gemini__300__180__ava__middle_near_miss__436826.jpg__beebd0dd29,/home/omen_pc1/ava/images/436826.jpg,436826.jpg,ava,middle_near_miss,near_miss,medium,0.528941,0.4837,0.421665,0.457207,0.465672,2091,0.6966666666666667,train,6.007812,,gemini_api,gemini-2.5-pro,"{
  ""comment_type"": ""near_miss_feedback"",
  ""short_reason"": ""The selective color technique is visually striking and effectively highlights the artwork, but the low contrast in the black and white areas makes the rest of the image appear flat."",
  ""detailed_reason"": ""The use of selective color is a strong creative choice, making the vibrant paintings the clear focal point against the monochrome background. However, the black and white portion of the image, particularly the man and the foliage behind him, lacks tonal depth and",no_json_object_found,,,,,,{'parse_error': 'no_json_object_found'},False,2,True,no_json_object_found,"['json_invalid', 'missing_comment_type', 'missing_short_reason', 'missing_detailed_reason', 'comment_type_mismatch']",False
gemini__300__203__ava__middle_near_miss__567647.jpg__90162b163b,/home/omen_pc1/ava/images/567647.jpg,567647.jpg,ava,middle_near_miss,near_miss,medium,0.542364,0.429182,0.470667,0.461243,0.462753,2039,0.6793333333333333,train,5.572916,,gemini_api,gemini-2.5-pro,"{
  ""comment_type"": ""near_miss_feedback"",
  ""short_reason"": ""The image features a well-composed subject with good depth of field, but the colors are muted and lack vibrancy."",
  ""detailed_reason"": ""The composition effectively uses a log in the foreground to create depth and a shallow focus to highlight the stuffed dog against the blurred background. However, the overall color palette is desaturated, and the lighting is flat, which makes the scene appear somewhat dull. Increasing the color saturation or capturing the image in warmer, more dynamic light would have made it more visually appealing."",",no_json_object_found,,,,,,{'parse_error': 'no_json_object_found'},False,2,True,no_json_object_found,"['json_invalid', 'missing_comment_type', 'missing_short_reason', 'missing_detailed_reason', 'comment_type_mismatch']",False
