candidate_id,image_path,image_file_name,dataset_source,selection_band,selection_state,aesthetic_signal,nima_unit_score,rgnet_score,alamp_score,weighted_aesthetic_score,balanced_comparison_score,primary_rank,primary_rank_percentile,source_split,ava_mean_score,aadb_score,teacher_source_mode,teacher_model_name,gemini_raw_text,gemini_parse_error,gemini_api_error,comment_type,short_reason,detailed_reason,comparison_reason,generation_validation_flags,is_valid_pre_audit,batch_result_key,gemini_finish_reason,gemini_usage_metadata,visible_anchor_count,generic_phrase_count,specificity_pass,audit_flags,is_clean
gemini__20__1__aadb__selected_high__farm4_3780_19553346993_23b017e6b8_b.jpg__98ed38a106,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm4_3780_19553346993_23b017e6b8_b.jpg,farm4_3780_19553346993_23b017e6b8_b.jpg,aadb,selected_high,selected,strong,0.474025,0.532643,0.560086,0.540503,0.534828,890,0.29633333333333334,train,,0.65,gemini_batch_api,gemini-2.5-pro,"{
  ""comment_type"": ""selected_explanation"",
  ""short_reason"": ""The image effectively captures a welder at work, highlighting the bright sparks and the protective gear."",
  ""detailed_reason"": ""The composition clearly focuses on the welder's face shield, which glows with the blue light of the welding arc. Numerous bright sparks are visible emanating from the welding point, adding dynamic energy to the scene. The welder's hands are actively engaged with the tool and the metalwork, conveying a sense of skilled craftsmanship. The overall lighting effectively emphasizes the intense light of the welding process against the slightly darker workshop background."",
  ""comparison_reason"": null
}",,,selected_explanation,"The image effectively captures a welder at work, highlighting the bright sparks and the protective gear.","The composition clearly focuses on the welder's face shield, which glows with the blue light of the welding arc. Numerous bright sparks are visible emanating from the welding point, adding dynamic energy to the scene. The welder's hands are actively engaged with the tool and the metalwork, conveying a sense of skilled craftsmanship. The overall lighting effectively emphasizes the intense light of the welding process against the slightly darker workshop background.",,{},True,gemini__20__1__aadb__selected_high__farm4_3780_19553346993_23b017e6b8_b.jpg__98ed38a106,STOP,"{'promptTokensDetails': [{'tokenCount': 427, 'modality': 'TEXT'}, {'modality': 'IMAGE', 'tokenCount': 258}], 'candidatesTokenCount': 140, 'totalTokenCount': 825, 'promptTokenCount': 685}",3,0,True,[],True
gemini__20__3__ava__middle_near_miss__289019.jpg__98209b9d52,/home/omen_pc1/ava/images/289019.jpg,289019.jpg,ava,middle_near_miss,near_miss,medium,0.585877,0.508003,0.47078,0.497179,0.504795,1479,0.49266666666666664,train,5.806035,,gemini_batch_api,gemini-2.5-pro,"{
  ""comment_type"": ""near_miss_feedback"",
  ""short_reason"": ""The dramatic sky with sun rays is a strong element, but the dark, underexposed foreground of the field detracts from the overall impact."",
  ""detailed_reason"": ""The image features a striking sky with bright sun rays breaking through the clouds on the left, creating a dynamic visual. However, the foreground, consisting of a harvested field, appears significantly underexposed and lacks detail, making it a dark, flat area that doesn't contribute much to the scene. To improve, consider brightening the foreground to reveal more texture and detail in the field, which would balance the exposure with the dramatic sky."",
  ""comparison_reason"": null
}",,,near_miss_feedback,"The dramatic sky with sun rays is a strong element, but the dark, underexposed foreground of the field detracts from the overall impact.","The image features a striking sky with bright sun rays breaking through the clouds on the left, creating a dynamic visual. However, the foreground, consisting of a harvested field, appears significantly underexposed and lacks detail, making it a dark, flat area that doesn't contribute much to the scene. To improve, consider brightening the foreground to reveal more texture and detail in the field, which would balance the exposure with the dramatic sky.",,{},True,gemini__20__3__ava__middle_near_miss__289019.jpg__98209b9d52,STOP,"{'promptTokenCount': 688, 'totalTokenCount': 845, 'candidatesTokenCount': 157, 'promptTokensDetails': [{'tokenCount': 430, 'modality': 'TEXT'}, {'modality': 'IMAGE', 'tokenCount': 258}]}",4,0,True,[],True
gemini__20__5__ava__middle_near_miss__905212.jpg__5c96df41b5,/home/omen_pc1/ava/images/905212.jpg,905212.jpg,ava,middle_near_miss,near_miss,medium,0.518264,0.448589,0.578123,0.520324,0.510854,1147,0.382,train,4.993902,,gemini_batch_api,gemini-2.5-pro,"{
  ""comment_type"": ""near_miss_feedback"",
  ""short_reason"": ""The strong yellow color and unique shape of the central object are engaging, but the blurred foreground creates a distracting element."",
  ""detailed_reason"": ""The bright yellow, house-like object is a compelling subject, framed effectively by the circular yellow blur. However, the very soft, out-of-focus yellow foreground on the left and right sides of the frame, while intended to frame, also creates a significant visual obstruction that detracts from the central subject. To improve, consider adjusting the depth of field or framing to minimize the foreground blur's dominance, allowing the central yellow object to stand out more clearly without obstruction."",
  ""comparison_reason"": null
}",,,near_miss_feedback,"The strong yellow color and unique shape of the central object are engaging, but the blurred foreground creates a distracting element.","The bright yellow, house-like object is a compelling subject, framed effectively by the circular yellow blur. However, the very soft, out-of-focus yellow foreground on the left and right sides of the frame, while intended to frame, also creates a significant visual obstruction that detracts from the central subject. To improve, consider adjusting the depth of field or framing to minimize the foreground blur's dominance, allowing the central yellow object to stand out more clearly without obstruction.",,{},True,gemini__20__5__ava__middle_near_miss__905212.jpg__5c96df41b5,STOP,"{'promptTokensDetails': [{'modality': 'TEXT', 'tokenCount': 430}, {'modality': 'IMAGE', 'tokenCount': 258}], 'candidatesTokenCount': 160, 'totalTokenCount': 848, 'promptTokenCount': 688}",4,0,True,[],True
gemini__20__6__ava__middle_near_miss__251358.jpg__6ddd63b092,/home/omen_pc1/ava/images/251358.jpg,251358.jpg,ava,middle_near_miss,near_miss,medium,0.547228,0.518231,0.504753,0.514392,0.517189,1226,0.4083333333333333,train,5.855263,,gemini_batch_api,gemini-2.5-pro,"{
  ""comment_type"": ""near_miss_feedback"",
  ""short_reason"": ""The dramatic lighting on the jack-o'-lantern creates a strong Halloween mood, but the dark background lacks detail."",
  ""detailed_reason"": ""The single light source from the right highlights the carved features of the pumpkin, creating a spooky atmosphere. However, the dark, undifferentiated brown background offers little visual interest and blends too much with the pumpkin's shadow. Adding some subtle texture or a slightly lighter tone to the background would enhance the overall depth and separation of the subject."",
  ""comparison_reason"": null
}",,,near_miss_feedback,"The dramatic lighting on the jack-o'-lantern creates a strong Halloween mood, but the dark background lacks detail.","The single light source from the right highlights the carved features of the pumpkin, creating a spooky atmosphere. However, the dark, undifferentiated brown background offers little visual interest and blends too much with the pumpkin's shadow. Adding some subtle texture or a slightly lighter tone to the background would enhance the overall depth and separation of the subject.",,{},True,gemini__20__6__ava__middle_near_miss__251358.jpg__6ddd63b092,STOP,"{'totalTokenCount': 819, 'promptTokenCount': 688, 'promptTokensDetails': [{'tokenCount': 430, 'modality': 'TEXT'}, {'modality': 'IMAGE', 'tokenCount': 258}], 'candidatesTokenCount': 131}",3,1,True,[],True
gemini__20__7__aadb__rejected_low__farm1_291_20282188755_267821a9d9_b.jpg__4023c1487d,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_291_20282188755_267821a9d9_b.jpg,farm1_291_20282188755_267821a9d9_b.jpg,aadb,rejected_low,not_selected,weak,0.503603,0.507455,0.394839,0.450762,0.461831,2203,0.734,train,,0.75,gemini_batch_api,gemini-2.5-pro,"{
  ""comment_type"": ""rejection_reason"",
  ""short_reason"": ""The image is slightly tilted to the left, causing the buildings and the street to appear off-kilter."",
  ""detailed_reason"": ""The image exhibits a noticeable tilt to the left, which makes the vertical lines of the buildings, such as the corners and window frames, appear skewed. This tilt also affects the horizontal elements like the street and the awnings, making them appear to slope downwards on the right side. The overall composition feels unbalanced due to this slight rotation."",
  ""comparison_reason"": null
}",,,rejection_reason,"The image is slightly tilted to the left, causing the buildings and the street to appear off-kilter.","The image exhibits a noticeable tilt to the left, which makes the vertical lines of the buildings, such as the corners and window frames, appear skewed. This tilt also affects the horizontal elements like the street and the awnings, making them appear to slope downwards on the right side. The overall composition feels unbalanced due to this slight rotation.",,{},True,gemini__20__7__aadb__rejected_low__farm1_291_20282188755_267821a9d9_b.jpg__4023c1487d,STOP,"{'candidatesTokenCount': 129, 'promptTokensDetails': [{'tokenCount': 418, 'modality': 'TEXT'}, {'tokenCount': 258, 'modality': 'IMAGE'}], 'promptTokenCount': 676, 'totalTokenCount': 805}",4,0,True,[],True
gemini__20__8__aadb__rejected_low__farm1_387_20196562681_21917947e5_b.jpg__6720571b58,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_387_20196562681_21917947e5_b.jpg,farm1_387_20196562681_21917947e5_b.jpg,aadb,rejected_low,not_selected,weak,0.5139,0.455718,0.396205,0.43178,0.44064,2424,0.8076666666666666,train,,0.4,gemini_batch_api,gemini-2.5-pro,"{
  ""comment_type"": ""rejection_reason"",
  ""short_reason"": ""The image is underexposed, making the buildings on both sides of the street appear too dark and lacking detail."",
  ""detailed_reason"": ""The overall exposure of the image is too dark, particularly noticeable on the facades of the buildings on the left and right, which are almost silhouetted. This underexposure obscures architectural details and textures, such as the windows and decorative elements on the left building, and the signage on the right building. The sky is also overexposed and blown out, creating a harsh contrast that further detracts from the visual quality."",
  ""comparison_reason"": null
}",,,rejection_reason,"The image is underexposed, making the buildings on both sides of the street appear too dark and lacking detail.","The overall exposure of the image is too dark, particularly noticeable on the facades of the buildings on the left and right, which are almost silhouetted. This underexposure obscures architectural details and textures, such as the windows and decorative elements on the left building, and the signage on the right building. The sky is also overexposed and blown out, creating a harsh contrast that further detracts from the visual quality.",,{},True,gemini__20__8__aadb__rejected_low__farm1_387_20196562681_21917947e5_b.jpg__6720571b58,STOP,"{'candidatesTokenCount': 147, 'promptTokensDetails': [{'tokenCount': 418, 'modality': 'TEXT'}, {'modality': 'IMAGE', 'tokenCount': 258}], 'promptTokenCount': 676, 'totalTokenCount': 823}",5,0,True,[],True
gemini__20__9__aadb__selected_high__farm1_312_20202777095_9ba3d5187b_b.jpg__cdff10908f,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_312_20202777095_9ba3d5187b_b.jpg,farm1_312_20202777095_9ba3d5187b_b.jpg,aadb,selected_high,selected,strong,0.475758,0.653043,0.581378,0.599482,0.597784,397,0.132,train,,0.125,gemini_batch_api,gemini-2.5-pro,"{
  ""comment_type"": ""selected_explanation"",
  ""short_reason"": ""The image features a striking contrast between the vibrant red leaves in the foreground and the soft green foliage in the background."",
  ""detailed_reason"": ""The shallow depth of field effectively isolates the branch with red leaves, making it the clear focal point. The bright sunlight illuminates the red leaves, enhancing their color and creating a beautiful glow. The blurred green background provides a natural and harmonious contrast, allowing the red leaves to stand out prominently."",
  ""comparison_reason"": null
}",,,selected_explanation,The image features a striking contrast between the vibrant red leaves in the foreground and the soft green foliage in the background.,"The shallow depth of field effectively isolates the branch with red leaves, making it the clear focal point. The bright sunlight illuminates the red leaves, enhancing their color and creating a beautiful glow. The blurred green background provides a natural and harmonious contrast, allowing the red leaves to stand out prominently.",,{},True,gemini__20__9__aadb__selected_high__farm1_312_20202777095_9ba3d5187b_b.jpg__cdff10908f,STOP,"{'candidatesTokenCount': 119, 'promptTokensDetails': [{'tokenCount': 427, 'modality': 'TEXT'}, {'modality': 'IMAGE', 'tokenCount': 258}], 'promptTokenCount': 685, 'totalTokenCount': 804}",3,0,True,[],True
gemini__20__12__ava__rejected_low__58037.jpg__9c7e0f5348,/home/omen_pc1/ava/images/58037.jpg,58037.jpg,ava,rejected_low,not_selected,weak,0.502257,0.566275,0.359475,0.456473,0.473952,2106,0.7016666666666667,train,4.231707,,gemini_batch_api,gemini-2.5-pro,"{
  ""comment_type"": ""rejection_reason"",
  ""short_reason"": ""The image is poorly composed, with the two yellow ramps on the left cut off and the work lights on the right also partially cropped."",
  ""detailed_reason"": ""The composition is weak because the two prominent yellow ramps on the left side of the frame are cut off, making them appear incomplete. Similarly, the work lights on the right are also partially cropped, which detracts from the overall visual balance. The items on the shelf, including the paint cans, are not clearly in focus, and the background wall is plain and uninteresting."",
  ""comparison_reason"": null
}",,,rejection_reason,"The image is poorly composed, with the two yellow ramps on the left cut off and the work lights on the right also partially cropped.","The composition is weak because the two prominent yellow ramps on the left side of the frame are cut off, making them appear incomplete. Similarly, the work lights on the right are also partially cropped, which detracts from the overall visual balance. The items on the shelf, including the paint cans, are not clearly in focus, and the background wall is plain and uninteresting.",,{},True,gemini__20__12__ava__rejected_low__58037.jpg__9c7e0f5348,STOP,"{'promptTokensDetails': [{'tokenCount': 418, 'modality': 'TEXT'}, {'tokenCount': 258, 'modality': 'IMAGE'}], 'candidatesTokenCount': 142, 'totalTokenCount': 818, 'promptTokenCount': 676}",5,0,True,[],True
gemini__20__13__aadb__middle_near_miss__farm1_324_20104961615_2c73ba70b6_b.jpg__0a3269a54a,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_324_20104961615_2c73ba70b6_b.jpg,farm1_324_20104961615_2c73ba70b6_b.jpg,aadb,middle_near_miss,near_miss,medium,0.498693,0.437287,0.496649,0.473109,0.470243,1838,0.6123333333333333,train,,0.4,gemini_batch_api,gemini-2.5-pro,"{
  ""comment_type"": ""near_miss_feedback"",
  ""short_reason"": ""The image captures an active moment in a soccer game, but the composition is slightly off-center, cutting off the player on the right."",
  ""detailed_reason"": ""The image effectively conveys the dynamic nature of the soccer game with three players engaged on the green field. However, the player on the far right is partially cropped, with only their legs and the soccer ball visible, which detracts from the overall scene. To improve, consider adjusting the framing to include all players fully within the shot, ensuring a more complete and balanced composition of the action."",
  ""comparison_reason"": null
}",,,near_miss_feedback,"The image captures an active moment in a soccer game, but the composition is slightly off-center, cutting off the player on the right.","The image effectively conveys the dynamic nature of the soccer game with three players engaged on the green field. However, the player on the far right is partially cropped, with only their legs and the soccer ball visible, which detracts from the overall scene. To improve, consider adjusting the framing to include all players fully within the shot, ensuring a more complete and balanced composition of the action.",,{},True,gemini__20__13__aadb__middle_near_miss__farm1_324_20104961615_2c73ba70b6_b.jpg__0a3269a54a,STOP,"{'candidatesTokenCount': 146, 'promptTokensDetails': [{'tokenCount': 430, 'modality': 'TEXT'}, {'tokenCount': 258, 'modality': 'IMAGE'}], 'promptTokenCount': 688, 'totalTokenCount': 834}",2,1,True,[],True
gemini__20__16__ava__selected_high__532277.jpg__085177d147,/home/omen_pc1/ava/images/532277.jpg,532277.jpg,ava,selected_high,selected,strong,0.529922,0.614465,0.539298,0.568427,0.571717,624,0.20766666666666667,train,5.741259,,gemini_batch_api,gemini-2.5-pro,"{
  ""comment_type"": ""selected_explanation"",
  ""short_reason"": ""The image features a young child in a red and white checkered outfit and hat, standing amidst tall green grass and wildflowers, creating a charming and natural scene."",
  ""detailed_reason"": ""The child, dressed in a distinctive red and white checkered dress and matching hat, is the clear focal point, positioned centrally within the frame. The vibrant green of the tall grass and scattered white and yellow wildflowers in the background provides a soft, natural setting that complements the child's attire. The soft, diffused lighting enhances the natural feel of the scene, highlighting the textures of the grass and the child's clothing."",
  ""comparison_reason"": null
}",,,selected_explanation,"The image features a young child in a red and white checkered outfit and hat, standing amidst tall green grass and wildflowers, creating a charming and natural scene.","The child, dressed in a distinctive red and white checkered dress and matching hat, is the clear focal point, positioned centrally within the frame. The vibrant green of the tall grass and scattered white and yellow wildflowers in the background provides a soft, natural setting that complements the child's attire. The soft, diffused lighting enhances the natural feel of the scene, highlighting the textures of the grass and the child's clothing.",,{},True,gemini__20__16__ava__selected_high__532277.jpg__085177d147,STOP,"{'candidatesTokenCount': 154, 'promptTokensDetails': [{'modality': 'TEXT', 'tokenCount': 427}, {'tokenCount': 258, 'modality': 'IMAGE'}], 'promptTokenCount': 685, 'totalTokenCount': 839}",7,0,True,[],True
